time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,breakdown_topic,breakdown,child_count,child_percent,rate_per_100
202526,Autumn term,Regional,E92000001,England,E12000004,East Midlands,,,,Reason,Moved in from another local authority,230,4,x
202526,Autumn term,Regional,E92000001,England,E12000004,East Midlands,,,,Reason,Moved in from another country,60,1,x
202526,Autumn term,Regional,E92000001,England,E12000004,East Midlands,,,,Reason,School application awaiting outcome,600,10,x
202526,Autumn term,Regional,E92000001,England,E12000004,East Midlands,,,,Reason,Offered school place but not yet accepted,180,3,x
202526,Autumn term,Regional,E92000001,England,E12000004,East Midlands,,,,Reason,Waiting school start,300,5,x
202526,Autumn term,Regional,E92000001,England,E12000004,East Midlands,,,,Reason,Did not get school preference,180,3,x
202526,Autumn term,Regional,E92000001,England,E12000004,East Midlands,,,,Reason,Unsuitable elective home education,100,2,x
202526,Autumn term,Regional,E92000001,England,E12000004,East Midlands,,,,Reason,Difficulty accessing suitable school place,80,1,x
202526,Autumn term,Regional,E92000001,England,E12000004,East Midlands,,,,Reason,School dissatisfaction general,low,low,x
202526,Autumn term,Regional,E92000001,England,E12000004,East Midlands,,,,Reason,School dissatisfaction SEND,80,1,x
202526,Autumn term,Regional,E92000001,England,E12000004,East Midlands,,,,Reason,Mental health,0,0,x
202526,Autumn term,Regional,E92000001,England,E12000004,East Midlands,,,,Reason,Physical health,low,low,x
202526,Autumn term,Regional,E92000001,England,E12000004,East Midlands,,,,Reason,Parental decision not to register at school,10,low,x
202526,Autumn term,Regional,E92000001,England,E12000004,East Midlands,,,,Reason,Did not apply for school place at compulsory school age,0,0,x
202526,Autumn term,Regional,E92000001,England,E12000004,East Midlands,,,,Reason,Challenging school attendance order,20,low,x
202526,Autumn term,Regional,E92000001,England,E12000004,East Midlands,,,,Reason,Believed to have moved to another local authority,190,3,x
202526,Autumn term,Regional,E92000001,England,E12000004,East Midlands,,,,Reason,Believed to have moved to another country,720,12,x
202526,Autumn term,Regional,E92000001,England,E12000004,East Midlands,,,,Reason,Unknown,2950,49,x
202526,Autumn term,Regional,E92000001,England,E12000004,East Midlands,,,,Reason,Not recorded,50,1,x
202526,Autumn term,Regional,E92000001,England,E12000004,East Midlands,,,,Reason,Other,230,4,x
202526,Autumn term,Regional,E92000001,England,E12000005,West Midlands,,,,Total,Total,3990,100,0.4000000
202526,Autumn term,Regional,E92000001,England,E12000005,West Midlands,,,,Sex,Female,1940,49,x
202526,Autumn term,Regional,E92000001,England,E12000005,West Midlands,,,,Sex,Male,2040,51,x
202526,Autumn term,Regional,E92000001,England,E12000005,West Midlands,,,,Sex,Unknown,10,low,x
202526,Autumn term,Regional,E92000001,England,E12000005,West Midlands,,,,Year group,Reception,50,1,x
202526,Autumn term,Regional,E92000001,England,E12000005,West Midlands,,,,Year group,Year 1,330,8,x
202526,Autumn term,Regional,E92000001,England,E12000005,West Midlands,,,,Year group,Year 2,240,6,x
202526,Autumn term,Regional,E92000001,England,E12000005,West Midlands,,,,Year group,Year 3,270,7,x
202526,Autumn term,Regional,E92000001,England,E12000005,West Midlands,,,,Year group,Year 4,230,6,x
202526,Autumn term,Regional,E92000001,England,E12000005,West Midlands,,,,Year group,Year 5,280,7,x
202526,Autumn term,Regional,E92000001,England,E12000005,West Midlands,,,,Year group,Year 6,300,7,x
202526,Autumn term,Regional,E92000001,England,E12000005,West Midlands,,,,Year group,Year 7,520,13,x
202526,Autumn term,Regional,E92000001,England,E12000005,West Midlands,,,,Year group,Year 8,330,8,x
202526,Autumn term,Regional,E92000001,England,E12000005,West Midlands,,,,Year group,Year 9,370,9,x
202526,Autumn term,Regional,E92000001,England,E12000005,West Midlands,,,,Year group,Year 10,470,12,x
202526,Autumn term,Regional,E92000001,England,E12000005,West Midlands,,,,Year group,Year 11,400,10,x
